"Operador","Año","Mes","Servicio","Categoría","Bloque","Tipo Conexión","Servicios Autorizados","Conexiones","Unidades","Consumo","Importe","Importe Cargo Fijo"
"AyA","2020","Setiembre","Hidrantes","Empresarial","121 y mas","Medido","","1566","1566","617145","16071858",""
"AyA","2020","Setiembre","Hidrantes","Empresarial"," ","Fijo","","420","420","","231840",""
"AyA","2020","Setiembre","Hidrantes","Preferencial","0-15","Medido","","3813","3813","13683","381702",""
"AyA","2020","Setiembre","Hidrantes","Preferencial","16-25","Medido","","606","606","12262","320034",""
"AyA","2020","Setiembre","Hidrantes","Preferencial","26-40","Medido","","469","469","15390","400140",""
"AyA","2020","Setiembre","Hidrantes","Preferencial","41-60","Medido","","320","320","15973","414076",""
"AyA","2020","Setiembre","Hidrantes","Preferencial","61-80","Medido","","165","165","11844","307944",""
"AyA","2020","Setiembre","Hidrantes","Preferencial","81-100","Medido","","119","119","10804","268320",""
"AyA","2020","Setiembre","Hidrantes","Preferencial","101-120","Medido","","95","95","10541","274066",""
"AyA","2020","Setiembre","Hidrantes","Preferencial","121 y mas","Medido","","417","417","263128","6853912",""
"AyA","2020","Setiembre","Hidrantes","Preferencial"," ","Fijo","","102","102","","56304",""
"AyA","2020","Setiembre","Hidrantes","Gobierno","0-15","Medido","","977","977","4194","115116",""
"AyA","2020","Setiembre","Hidrantes","Gobierno","16-25","Medido","","194","194","3952","99658",""
"AyA","2020","Setiembre","Hidrantes","Gobierno","26-40","Medido","","164","164","5215","140504",""
"AyA","2020","Setiembre","Hidrantes","Gobierno","41-60","Medido","","138","138","6798","176748",""
"AyA","2020","Setiembre","Hidrantes","Gobierno","61-80","Medido","","88","88","6145","154466",""
"AyA","2020","Setiembre","Hidrantes","Gobierno","81-100","Medido","","64","64","5717","148642",""
"AyA","2020","Setiembre","Hidrantes","Gobierno","101-120","Medido","","50","50","5550","144300",""
"AyA","2020","Setiembre","Hidrantes","Gobierno","121 y mas","Medido","","288","288","203912","5305196",""
"AyA","2020","Setiembre","Hidrantes","Gobierno"," ","Fijo","","23","23","","12696",""
"AyA","2020","Setiembre","Hidrantes","Venta de Agua en Bloque","0-15","Medido","","6","6","1","",""
"AyA","2020","Setiembre","Hidrantes","Venta de Agua en Bloque","61-80","Medido","","1","1","72","",""
"AyA","2020","Setiembre","Hidrantes","Venta de Agua en Bloque","121 y mas","Medido","","4","4","16918","",""
"AyA","2020","Setiembre","Tarifa Hidrica","Domiciliar","0-15","Medido","","368563","432130","3185101","9703129",""
"AyA","2020","Setiembre","Tarifa Hidrica","Domiciliar","16-25","Medido","","151994","167176","3319848","11629431",""
"AyA","2020","Setiembre","Tarifa Hidrica","Domiciliar","26-40","Medido","","64610","68865","2136223","9044100",""
"AyA","2020","Setiembre","Tarifa Hidrica","Domiciliar","41-60","Medido","","13861","14900","712917","3612031",""
"AyA","2020","Setiembre","Tarifa Hidrica","Domiciliar","61-80","Medido","","2588","2690","186189","1188819",""
"AyA","2020","Setiembre","Tarifa Hidrica","Domiciliar","81-100","Medido","","859","903","82925","635727",""
"AyA","2020","Setiembre","Tarifa Hidrica","Domiciliar","101-120","Medido","","388","402","45927","374149",""
"AyA","2020","Setiembre","Tarifa Hidrica","Domiciliar","121 y mas","Medido","","858","904","23094","-213129",""
"AyA","2020","Setiembre","Tarifa Hidrica","Domiciliar"," ","Fijo","","8508","9211","","700360",""
"AyA","2020","Setiembre","Tarifa Hidrica","Empresarial","0-15","Medido","","42471","42482","168068","1722742",""
"AyA","2020","Setiembre","Tarifa Hidrica","Empresarial","16-25","Medido","","5437","5439","108375","1150707",""
"AyA","2020","Setiembre","Tarifa Hidrica","Empresarial","26-40","Medido","","3595","3595","115634","1296690",""
"AyA","2020","Setiembre","Tarifa Hidrica","Empresarial","41-60","Medido","","2050","2050","101112","1168891",""
"AyA","2020","Setiembre","Tarifa Hidrica","Empresarial","61-80","Medido","","951","951","65192","776185",""
"AyA","2020","Setiembre","Tarifa Hidrica","Empresarial","81-100","Medido","","623","623","56357","651617",""
"AyA","2020","Setiembre","Tarifa Hidrica","Empresarial","101-120","Medido","","378","378","41795","491525",""
"AyA","2020","Setiembre","Tarifa Hidrica","Empresarial","121 y mas","Medido","","1566","1566","617145","7696019",""
"AyA","2020","Setiembre","Tarifa Hidrica","Empresarial"," ","Fijo","","420","420","","98280",""
"AyA","2020","Setiembre","Tarifa Hidrica","Preferencial","0-15","Medido","","3813","3813","13683","59241",""
"AyA","2020","Setiembre","Tarifa Hidrica","Preferencial","16-25","Medido","","606","606","12262","51249",""
"AyA","2020","Setiembre","Tarifa Hidrica","Preferencial","26-40","Medido","","469","469","15390","66950",""
"AyA","2020","Setiembre","Tarifa Hidrica","Preferencial","41-60","Medido","","320","320","15973","76513",""
"AyA","2020","Setiembre","Tarifa Hidrica","Preferencial","61-80","Medido","","165","165","11844","62862",""
"AyA","2020","Setiembre","Tarifa Hidrica","Preferencial","81-100","Medido","","119","119","10804","58221",""
"AyA","2020","Setiembre","Tarifa Hidrica","Preferencial","101-120","Medido","","95","95","10541","58050",""
"AyA","2020","Setiembre","Tarifa Hidrica","Preferencial","121 y mas","Medido","","417","417","263128","1501264",""
"AyA","2020","Setiembre","Tarifa Hidrica","Preferencial"," ","Fijo","","102","102","","21216",""
"AyA","2020","Setiembre","Tarifa Hidrica","Gobierno","0-15","Medido","","977","977","4194","98159",""
"AyA","2020","Setiembre","Tarifa Hidrica","Gobierno","16-25","Medido","","194","194","3952","65670",""
"AyA","2020","Setiembre","Tarifa Hidrica","Gobierno","26-40","Medido","","164","164","5215","87960",""
"AyA","2020","Setiembre","Tarifa Hidrica","Gobierno","41-60","Medido","","138","138","6798","124369",""
"AyA","2020","Setiembre","Tarifa Hidrica","Gobierno","61-80","Medido","","88","88","6145","99993",""
"AyA","2020","Setiembre","Tarifa Hidrica","Gobierno","81-100","Medido","","64","64","5717","85976",""
"AyA","2020","Setiembre","Tarifa Hidrica","Gobierno","101-120","Medido","","50","50","5550","70602",""
"AyA","2020","Setiembre","Tarifa Hidrica","Gobierno","121 y mas","Medido","","288","288","203912","2405279",""
"AyA","2020","Setiembre","Tarifa Hidrica","Gobierno"," ","Fijo","","23","23","","20171",""
"AyA","2020","Setiembre","Tarifa Hidrica","Venta de Agua en Bloque","0-15","Medido","","6","6","1","",""
"AyA","2020","Setiembre","Tarifa Hidrica","Venta de Agua en Bloque","61-80","Medido","","1","1","72","",""
"AyA","2020","Setiembre","Tarifa Hidrica","Venta de Agua en Bloque","121 y mas","Medido","","4","4","16918","",""
